نههههه	نه
خخخخ	خخ
ارههه	اره
خداااا	خدا
ههههه	هه
خاااک	خاک
ااای	ای
هوراااا	هورا
هااااااا	ها
والااااا	والا
خدایاااا	خدایا
فداااا	فدا
چرااااااا	چرا
عزیزمممممم	عزیزم
سلاممممم	سلام
ممنونممم	ممنونم
هممممم	هم
دارمممم	دارم
خوووبننن	خوبن
منننن	من
مرررسی	مرسی
اررره	اره
چقدرررر	چقدر
اسیرررررررم	اسیرم
عررررر	عر
بیشترررر	بیشتر
عزیزززم	عزیزم
نازززز	ناز
توو	تو
جوووون	جون
اوووف	اوف
هوووم	هوم
ارووووم	اروم
دیووونه	دیوونه
خوووبه	خوبه
گلللل	گل
گللللللللللللللللللللللللللللللللللللللللللللللللللللللللللللل	گل
خیلللی	خیلی
ایوللل	ایول
عجببببب	عجب
خببب	خب
